               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11661,            0.039386,            0.028671,           0.0029271,             0.12865,           0.0036562,           0.0011165,             0.11766,            0.042094,            0.027233,              0.0937,              0.0007,              0.0007
                   1,             0.11383,             0.03843,            0.028036,           0.0029147,             0.12865,           0.0046209,           0.0015053,             0.11191,            0.045422,            0.026956,             0.08647,           0.0014703,           0.0014703
                   2,              0.1109,            0.038786,            0.028557,            0.019699,             0.15186,           0.0097719,           0.0026805,             0.10338,            0.050778,            0.026477,            0.079209,           0.0022089,           0.0022089
                   3,             0.10234,            0.044412,            0.027705,            0.021552,             0.16711,            0.010137,           0.0022669,             0.10011,            0.052977,            0.025946,            0.071916,           0.0029159,           0.0029159
                   4,            0.096389,            0.042032,            0.025954,            0.023277,              0.1691,            0.013657,           0.0029492,              0.0956,            0.055257,            0.025157,            0.064591,           0.0035911,           0.0035911
                   5,            0.093239,            0.049607,            0.025481,            0.018154,             0.12865,            0.013854,           0.0021425,            0.093781,            0.056412,              0.0244,            0.057235,           0.0042347,           0.0042347
                   6,            0.093539,             0.04733,            0.025351,             0.01044,             0.45491,            0.016417,           0.0043507,            0.090344,             0.05646,            0.023693,            0.049847,           0.0048466,           0.0048466
                   7,            0.087254,            0.045363,            0.024684,            0.058481,             0.27454,            0.044597,           0.0099222,            0.087812,            0.056846,            0.022822,            0.042427,           0.0054268,           0.0054268
                   8,            0.087873,            0.045496,            0.024651,            0.061549,             0.43767,            0.065544,            0.017148,            0.083217,            0.057643,            0.021677,            0.034975,           0.0059754,           0.0059754
                   9,            0.079619,            0.047897,            0.022579,            0.061549,             0.43767,            0.065544,            0.017148,            0.083217,            0.057643,            0.021677,            0.027492,           0.0064922,           0.0064922
                  10,            0.078436,            0.046481,            0.023195,            0.081293,             0.44496,            0.083541,            0.017477,            0.079577,            0.057104,            0.020486,            0.019977,           0.0069774,           0.0069774
                  11,            0.077411,             0.05196,            0.021429,            0.081293,             0.44496,            0.083541,            0.017477,            0.079577,            0.057104,            0.020486,            0.012431,           0.0074309,           0.0074309
                  12,            0.074413,             0.04389,            0.022166,             0.17637,             0.56034,             0.16682,            0.045922,            0.071093,            0.056041,            0.019701,            0.007624,            0.007624,            0.007624
                  13,            0.069655,            0.050501,            0.022666,             0.17637,             0.56034,             0.16682,            0.045922,            0.071093,            0.056041,            0.019701,            0.007624,            0.007624,            0.007624
                  14,            0.071079,            0.044252,            0.022297,            0.088626,             0.57958,            0.090944,            0.024772,            0.076142,             0.04911,            0.019172,            0.007426,            0.007426,            0.007426
                  15,            0.077104,            0.046236,            0.021322,            0.088626,             0.57958,            0.090944,            0.024772,            0.076142,             0.04911,            0.019172,            0.007228,            0.007228,            0.007228
                  16,            0.075355,            0.042294,            0.021638,             0.21447,             0.27984,              0.2877,             0.11107,             0.07642,            0.045556,            0.018582,             0.00703,             0.00703,             0.00703
                  17,             0.07256,            0.041832,            0.019934,             0.21447,             0.27984,              0.2877,             0.11107,             0.07642,            0.045556,            0.018582,            0.006832,            0.006832,            0.006832
                  18,            0.070726,            0.046241,            0.021211,             0.35182,             0.40429,             0.33179,             0.10061,            0.074699,            0.044739,            0.018013,            0.006634,            0.006634,            0.006634
                  19,            0.066843,            0.042393,            0.019575,             0.35182,             0.40429,             0.33179,             0.10061,            0.074699,            0.044739,            0.018013,            0.006436,            0.006436,            0.006436
                  20,            0.066426,            0.045691,            0.020432,             0.39357,             0.50767,             0.44546,             0.18363,            0.066021,            0.045367,            0.017478,            0.006238,            0.006238,            0.006238
                  21,             0.06561,            0.043947,             0.01943,             0.39357,             0.50767,             0.44546,             0.18363,            0.066021,            0.045367,            0.017478,             0.00604,             0.00604,             0.00604
                  22,            0.062413,            0.042806,            0.020778,             0.35629,             0.38196,             0.32791,             0.11381,            0.066908,            0.043784,            0.017302,            0.005842,            0.005842,            0.005842
                  23,            0.059707,            0.042633,            0.019612,             0.35629,             0.38196,             0.32791,             0.11381,            0.066908,            0.043784,            0.017302,            0.005644,            0.005644,            0.005644
                  24,            0.061917,            0.039811,            0.020205,             0.55197,              0.5179,             0.52141,              0.1485,             0.06366,            0.043169,            0.016808,            0.005446,            0.005446,            0.005446
                  25,            0.063255,            0.036629,            0.018927,             0.55197,              0.5179,             0.52141,              0.1485,             0.06366,            0.043169,            0.016808,            0.005248,            0.005248,            0.005248
                  26,            0.060166,             0.03443,            0.019235,             0.44704,              0.1996,             0.25421,            0.058858,            0.070558,            0.041118,            0.016485,             0.00505,             0.00505,             0.00505
                  27,               0.062,            0.035861,            0.021114,             0.44704,              0.1996,             0.25421,            0.058858,            0.070558,            0.041118,            0.016485,            0.004852,            0.004852,            0.004852
                  28,            0.062288,            0.043789,            0.017941,             0.59352,             0.48541,             0.55483,              0.1948,            0.061402,             0.04175,            0.015888,            0.004654,            0.004654,            0.004654
                  29,            0.060769,            0.040107,            0.019326,             0.59352,             0.48541,             0.55483,              0.1948,            0.061402,             0.04175,            0.015888,            0.004456,            0.004456,            0.004456
                  30,            0.057364,             0.03717,            0.018696,             0.51755,              0.4874,             0.54235,               0.185,            0.059743,            0.040153,            0.015331,            0.004258,            0.004258,            0.004258
                  31,            0.056633,            0.039154,            0.017321,             0.51755,              0.4874,             0.54235,               0.185,            0.059743,            0.040153,            0.015331,             0.00406,             0.00406,             0.00406
                  32,             0.05496,            0.031911,             0.01912,             0.61578,             0.50862,             0.54564,             0.17987,            0.059992,            0.039505,            0.015077,            0.003862,            0.003862,            0.003862
                  33,            0.057008,            0.040711,            0.018099,             0.61578,             0.50862,             0.54564,             0.17987,            0.059992,            0.039505,            0.015077,            0.003664,            0.003664,            0.003664
                  34,            0.055665,            0.035565,            0.017809,             0.69257,             0.53521,             0.64709,             0.28096,            0.054761,            0.039354,            0.014763,            0.003466,            0.003466,            0.003466
                  35,            0.054085,            0.034649,            0.019394,             0.69257,             0.53521,             0.64709,             0.28096,            0.054761,            0.039354,            0.014763,            0.003268,            0.003268,            0.003268
                  36,            0.052526,            0.038881,             0.01816,             0.59146,             0.50663,             0.61535,             0.29145,            0.053859,            0.038929,            0.014466,             0.00307,             0.00307,             0.00307
                  37,             0.05163,             0.03839,            0.018269,             0.59146,             0.50663,             0.61535,             0.29145,            0.053859,            0.038929,            0.014466,            0.002872,            0.002872,            0.002872
                  38,            0.051397,            0.042222,            0.016207,             0.61535,             0.56233,             0.63727,             0.28962,            0.049753,            0.038791,             0.01422,            0.002674,            0.002674,            0.002674
                  39,            0.048551,            0.036342,             0.01734,             0.61535,             0.56233,             0.63727,             0.28962,            0.049753,            0.038791,             0.01422,            0.002476,            0.002476,            0.002476
                  40,            0.049668,            0.037533,            0.017054,             0.62991,             0.56233,              0.6557,             0.27815,            0.050301,            0.038293,            0.013961,            0.002278,            0.002278,            0.002278
                  41,            0.048427,            0.036314,            0.017328,             0.62991,             0.56233,              0.6557,             0.27815,            0.050301,            0.038293,            0.013961,             0.00208,             0.00208,             0.00208
                  42,            0.051325,            0.037929,            0.016526,             0.70445,             0.58802,             0.72791,               0.319,            0.048241,            0.038006,            0.013709,            0.001882,            0.001882,            0.001882
                  43,            0.047395,             0.03185,            0.017694,             0.70445,             0.58802,             0.72791,               0.319,            0.048241,            0.038006,            0.013709,            0.001684,            0.001684,            0.001684
                  44,            0.048815,            0.034499,            0.016954,             0.64871,             0.69482,             0.73961,             0.31529,            0.047165,            0.037821,             0.01358,            0.001486,            0.001486,            0.001486
                  45,            0.045602,            0.035663,            0.015606,             0.64871,             0.69482,             0.73961,             0.31529,            0.047165,            0.037821,             0.01358,            0.001288,            0.001288,            0.001288
                  46,            0.045964,            0.031017,            0.016461,             0.64505,             0.68247,             0.73763,             0.33441,            0.047981,            0.037556,            0.013458,             0.00109,             0.00109,             0.00109
                  47,            0.048165,            0.038312,            0.017194,             0.64505,             0.68247,             0.73763,             0.33441,            0.047981,            0.037556,            0.013458,            0.000892,            0.000892,            0.000892
