               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  32,            0.055387,            0.032432,            0.016842,             0.69757,             0.68899,             0.75562,             0.32368,            0.058572,            0.047907,           0.0065228,            0.003862,            0.003862,            0.003862
                  33,            0.060637,            0.042575,            0.011827,             0.69757,             0.68899,             0.75562,             0.32368,            0.058572,            0.047907,           0.0065228,            0.003664,            0.003664,            0.003664
                  34,            0.058904,            0.037452,            0.011895,              0.7053,             0.67255,             0.74009,             0.33823,            0.056422,            0.047677,           0.0062991,            0.003466,            0.003466,            0.003466
                  35,            0.061552,            0.037064,            0.014421,              0.7053,             0.67255,             0.74009,             0.33823,            0.056422,            0.047677,           0.0062991,            0.003268,            0.003268,            0.003268
                  36,            0.060419,            0.043343,            0.013821,             0.65853,             0.74072,             0.80976,             0.37094,            0.052754,            0.047399,           0.0061177,             0.00307,             0.00307,             0.00307
                  37,            0.059513,            0.042254,            0.013698,             0.65853,             0.74072,             0.80976,             0.37094,            0.052754,            0.047399,           0.0061177,            0.002872,            0.002872,            0.002872
                  38,            0.058135,             0.04719,            0.011625,             0.74965,             0.74072,             0.83815,             0.40708,            0.050563,            0.046943,           0.0059497,            0.002674,            0.002674,            0.002674
                  39,             0.05577,             0.03962,             0.01173,             0.74965,             0.74072,             0.83815,             0.40708,            0.050563,            0.046943,           0.0059497,            0.002476,            0.002476,            0.002476
                  40,             0.05501,            0.039467,            0.010845,             0.68878,              0.6059,             0.73577,             0.33351,            0.052339,            0.046466,            0.005792,            0.002278,            0.002278,            0.002278
                  41,            0.052136,            0.039233,            0.011107,             0.68878,              0.6059,             0.73577,             0.33351,            0.052339,            0.046466,            0.005792,             0.00208,             0.00208,             0.00208
                  42,            0.059743,            0.042899,            0.012106,             0.79103,             0.68501,             0.84432,             0.39942,            0.049971,            0.046375,           0.0056635,            0.001882,            0.001882,            0.001882
                  43,            0.049712,            0.033837,            0.013865,             0.79103,             0.68501,             0.84432,             0.39942,            0.049971,            0.046375,           0.0056635,            0.001684,            0.001684,            0.001684
                  44,            0.053545,            0.037495,             0.01166,             0.80384,             0.68501,             0.84644,             0.40544,            0.048897,            0.046324,           0.0055839,            0.001486,            0.001486,            0.001486
                  45,            0.054379,            0.037372,            0.015399,             0.80384,             0.68501,             0.84644,             0.40544,            0.048897,            0.046324,           0.0055839,            0.001288,            0.001288,            0.001288
                  46,            0.052225,            0.033139,            0.011005,             0.84009,             0.70575,             0.86941,             0.41753,            0.048773,            0.046155,           0.0054908,             0.00109,             0.00109,             0.00109
                  47,            0.053962,            0.043055,            0.012648,             0.84009,             0.70575,             0.86941,             0.41753,            0.048773,            0.046155,           0.0054908,            0.000892,            0.000892,            0.000892
                  48,            0.049198,            0.036353,            0.013374,             0.84114,             0.73043,              0.8613,             0.41703,            0.048362,            0.046006,           0.0054759,            0.000694,            0.000694,            0.000694
                  49,            0.055368,            0.036744,            0.013175,             0.84114,             0.73043,              0.8613,             0.41703,            0.048362,            0.046006,           0.0054759,            0.000496,            0.000496,            0.000496
